"Table 6-34:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes in Land Converted to Cropland (MMT C)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Grassland Converted to Cropland,6.7,6.9,7.5,6.0,5.1,6.7,5.9,6.4,4.8,4.9,4.8,4.6,4.6,5.0,4.8,4.7,5.0,4.6,4.8,4.7,5.2,5.2,4.9,4.9,4.9,4.9,5.0,4.9
Mineral Soils,6.0,6.2,6.8,5.3,4.3,5.9,5.1,5.6,3.9,3.9,3.9,3.5,3.5,4.0,3.9,3.8,4.1,3.7,4.0,3.9,4.4,4.4,4.1,4.1,4.1,4.1,4.3,4.1
Organic Soils,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,1.0,1.0,0.9,1.1,1.1,1.1,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Forest Land Converted to Cropland,13.6,13.6,13.6,13.6,13.5,13.5,13.5,13.4,13.4,13.4,13.3,13.3,13.3,13.2,13.2,13.1,13.1,13.1,13.0,13.0,13.0,12.9,12.9,12.9,12.8,12.8,12.8,12.9
Aboveground Live Biomass,7.9,7.9,7.8,7.8,7.8,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.7,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.4
Belowground Live Biomass,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Dead Wood,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Litter,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Mineral Soils,0.1,0.1,0.1,+,+,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+,+,+,+,+,+,+,+
Organic Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Other Lands Converted to Cropland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+
Mineral Soils,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+
Organic Soils,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+
Settlements Converted to Cropland,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,+,+,+,+,+
Mineral Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Organic Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Wetlands Converted to Cropland,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.4,0.4
Mineral Soils,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.3,0.3,0.3,0.3,0.3
Organic Soils,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Aboveground Live Biomass,7.9,7.9,7.8,7.8,7.8,7.8,7.8,7.8,7.7,7.7,7.7,7.7,7.7,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.4
Belowground Live Biomass,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Dead Wood ,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Litter ,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
Total Mineral Soil Flux,6.1,6.3,6.9,5.4,4.5,6.1,5.2,5.7,4.0,4.0,4.1,3.6,3.6,4.1,4.0,3.9,4.2,3.9,4.1,4.0,4.5,4.5,4.2,4.5,4.5,4.4,4.6,4.5
Total Organic Soil Flux,0.9,0.9,0.9,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.2,1.4,1.4,1.3,1.2,1.1,1.1,1.1,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9
Total Net Flux,20.6,20.8,21.4,19.9,19.0,20.6,19.8,20.2,18.6,18.6,18.5,18.3,18.2,18.6,18.3,18.2,18.4,18.0,18.1,18.0,18.4,18.4,18.1,18.3,18.2,18.2,18.4,18.2
+ Does not exceed 0.05 MMT C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
