"Table 9-2:  Revisions to U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average Annual Change
,Forest Land Remaining Forest Land,23.3,23,29.4,27.2,25.3,38.2,17.5,18.5,19.3,19.4,2.3,16.6,0.9,102.5,47.4,18.2,29.9,26,63.8,39,80.4,51.3,59.5,52.4,98.6,11.1,18.9,35.6
,Changes in Forest Carbon Stocksa,26.1,26.9,29,27.9,27.5,38.5,17.8,18.7,20.4,22.2,3.3,19.7,5.6,102.7,53.9,25.2,33,32.6,66.6,42.7,80.3,55.6,62.7,54.2,100.5,21,41.5,39.1
,Non-CO2 Emissions from Forest Firesb,-2.8,-3.8,0.3,-0.7,-2.2,-0.3,-0.3,-0.2,-1.1,-2.8,-1,-3.2,-4.7,-0.2,-6.5,-7,-3.1,-6.6,-2.8,-3.7,0.1,-4.2,-3.2,-1.8,-1.9,-9.9,-22.6,-3.6
,N2O Emissions from Forest Soilsc,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Non-CO2 Emissions from Drained Organic Soilsd,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Forest Land,-27.1,-26.7,-26.5,-24.1,-22.3,-20,-13.1,-11.2,-11.4,-12.7,-14.1,-20.6,-21.9,-23.1,-21.8,-38.4,-40.4,-41,-43.3,-43.8,-44.2,-44.9,-45.5,-45.5,-45.5,-45.6,-45.6,-30.4
,Changes in Forest Carbon Stockse,-27.1,-26.7,-26.5,-24.1,-22.3,-20,-13.1,-11.2,-11.4,-12.7,-14.1,-20.6,-21.9,-23.1,-21.8,-38.4,-40.4,-41,-43.3,-43.8,-44.2,-44.9,-45.5,-45.5,-45.5,-45.6,-45.6,-30.4
,Cropland Remaining Cropland,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Changes in Mineral and Organic Soil Carbon Stocks,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Cropland,32.3,32.5,32.8,33.5,33.7,34.4,34.2,34.6,35.1,36.7,37.6,39.2,40,40.6,40.4,40.8,40.7,41.1,44.3,44.4,44.3,44.2,43.7,43.7,43.6,43.6,43.6,39.1
,Changes in all Ecosystem Carbon Stocksf,32.3,32.5,32.8,33.5,33.7,34.4,34.2,34.6,35.1,36.7,37.6,39.2,40,40.6,40.4,40.8,40.7,41.1,44.3,44.4,44.3,44.2,43.7,43.7,43.6,43.6,43.6,39.1
,Grassland Remaining Grassland,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Changes in Mineral and Organic Soil Carbon Stocks,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Non-CO2 Emissions from Grassland Firesg,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Grassland,-9.1,-8.8,-8.6,-8.9,-9.1,-8.9,-10.1,-9.8,-22.9,-22.4,-22.5,-20.9,-20.7,-19.8,-19.2,-14,-13.6,-13.4,-14,-13.7,-13.7,-13.9,-13.6,-13.6,-13.5,-13.5,-13.5,-14.3
,Changes in all Ecosystem Carbon Stocksf,-9.1,-8.8,-8.6,-8.9,-9.1,-8.9,-10.1,-9.8,-22.9,-22.4,-22.5,-20.9,-20.7,-19.8,-19.2,-14,-13.6,-13.4,-14,-13.7,-13.7,-13.9,-13.6,-13.6,-13.5,-13.5,-13.5,-14.3
,Wetlands Remaining Wetlands,3.5,3.5,3.5,3.5,3.5,3.5,2.5,2.6,2.6,2.6,2.6,3.2,3.3,3.3,3.3,3.3,4.7,4.7,4.7,4.7,4.7,3.5,3.5,3.5,3.5,3.5,3.5,3.5
,Changes in Organic Soil Carbon Stocks in Peatlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+
,Changes in Aboveground and Soil Carbon Stocks in Coastal Wetlands,3.5,3.5,3.5,3.5,3.5,3.5,2.6,2.6,2.6,2.6,2.6,3.2,3.3,3.3,3.3,3.3,4.7,4.7,4.7,4.7,4.7,3.6,3.5,3.5,3.5,3.5,3.4,3.5
,CH4 Emissions from Coastal Wetlands Remaining Coastal Wetlands,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2O Emissions from Coastal Wetlands Remaining Coastal Wetlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+
,Non-CO2 Emissions from Peatlands Remaining Peatlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+
,Land Converted to Wetlands,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Changes in Aboveground and Soil Carbon Stocks,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,CH4 Emissions from Land Converted to Coastal Wetlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+
,Settlements Remaining Settlements,-35.9,-35.6,-35.2,-35.3,-35.4,-35.5,-35.7,-35.7,-35.7,-35.5,-35.2,-34.9,-34.7,-35.3,-35.9,-36.3,-36.8,-37.2,-37.9,-38.1,-38.2,-38.3,-37.8,-36.1,-34.6,-33.2,-31,-35.8
,Changes in Organic Soil Carbon Stocks,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Changes in Settlement Tree Carbon Stocks,-35.8,-35.5,-35.1,-35.3,-35.3,-35.4,-35.6,-35.6,-35.6,-35.4,-35.1,-34.9,-34.6,-35.2,-35.8,-36.3,-36.8,-37.1,-37.8,-38,-38.2,-38.3,-37.8,-36.1,-34.4,-32.7,-31,-35.7
,Changes in Yard Trimming and Food Scrap Carbon Stocks in Landfills,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.5,0.1,-0.1
,N2O Emissions from Settlement Soilsh,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Settlements,25.7,23.8,22.5,22.3,22.2,21.1,17.8,17.3,15.5,14.9,14.7,17.2,16.5,16.5,16.4,17.7,18.2,18.4,12.7,13.5,14.4,15.4,17.7,18,18.4,18.4,18.4,18
,Changes in all Ecosystem Carbon Stocksf,25.7,23.8,22.5,22.3,22.2,21.1,17.8,17.3,15.5,14.9,14.7,17.2,16.5,16.5,16.4,17.7,18.2,18.4,12.7,13.5,14.4,15.4,17.7,18,18.4,18.4,18.4,18
,LULUCF Emissionsi,-2.9,-3.8,0.3,-0.8,-2.2,-0.3,-0.3,-0.2,-1.1,-2.8,-1,-3.2,-4.7,-0.2,-6.5,-7,-3.1,-6.6,-2.8,-3.7,0.1,-4.3,-3.2,-1.8,-1.9,-9.8,-22.6,-3.6
,LULUCF Total Net Fluxj,15.5,15.6,17.5,18.8,20,33.1,13.5,16.6,3.6,5.8,-13.7,2.9,-11.8,84.8,37.2,-1.9,5.7,5.3,33.1,9.7,47.5,21.6,30.6,24.1,72.2,-6,16.8,19.2
,LULUCF Sector Totalk,12.6,11.8,17.8,18.1,17.8,32.8,13.1,16.3,2.5,3,-14.7,-0.2,-16.5,84.6,30.7,-8.9,2.7,-1.3,30.4,6,47.6,17.4,27.4,22.3,70.4,-15.9,-5.8,15.6
,Percent Change,1.50%,1.40%,2.20%,2.30%,2.20%,4.20%,1.60%,2.10%,0.30%,0.40%,-1.90%,0.00%,-2.30%,11.90%,4.40%,-1.20%,0.40%,-0.20%,4.40%,0.90%,6.60%,2.30%,3.60%,3.00%,9.50%,-2.30%,-0.80%,2.10%
,NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Absolute value does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes the net changes to carbon stocks stored in all forest ecosystem pools (including drained and undrained organic soils) and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Estimates include emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Estimates include emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Estimates include emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,e Includes the net changes to carbon stocks stored in all forest ecosystem pools.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"f Includes changes in mineral and organic soil carbon stocks for all land use conversions to cropland, grassland, and settlements, respectively. Also includes aboveground/belowground biomass, dead wood, and litter carbon stock changes for conversion of forest land to cropland, grassland, and settlements, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,g Estimates include emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h Estimates include emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements because it is not possible to separate the activity data at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"i LULUCF emissions include the CH4 and N2O emissions reported for Peatlands Remaining Peatlands, Forest Fires, Drained Organic Soils, Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; CH4 emissions from Land Converted to Coastal Wetlands; and N2O emissions from Forest Soils and Settlement Soils. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j LULUCF Carbon Stock Change includes any C stock gains and losses from all land use and land use conversion categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k The LULUCF Sector Net Total is the net sum of all CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
