Table ES-4:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Chapter/IPCC Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter/IPCC Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Energy,5339.8,5300.8,5399.8,5496.2,5585.2,5631.4,5817.7,5887.8,5931.3,6001.8,6168.6,6090.4,6121.8,6174.2,6280,6308,6223.9,6291.2,6117.2,5713.9,5894.4,5751.1,5538.3,5695,5736.4,5584.7,5465.3,5424.8
,Fossil Fuel Combustion,4738.8,4689.4,4792.4,4910.7,4986,5037.6,5230.3,5293.9,5330.4,5397.8,5590.2,5521.4,5558.3,5618.8,5707.1,5744.8,5657.8,5749.4,5561.5,5191,5358.5,5228.4,5026.7,5157.4,5199.3,5047.1,4961.9,4912
,Natural Gas Systems,223.1,224.8,222.8,222.5,222.5,213.5,208.6,206.8,199.7,199,197,198.7,195.6,193.6,192.8,194,196.3,193.8,197,188.1,186.3,188.3,185.6,190.8,190.6,192.2,191.2,191.9
,Non-Energy Use of Fuels,119.6,129.7,125.8,116.2,125.4,128.3,123.8,132.3,149.7,163,140.2,132.6,136.3,129.9,148.1,139.6,140.9,123.4,125.9,106.7,114.2,109.6,108.8,123.5,119.9,126.9,113.7,123.2
,Petroleum Systems,51,51.1,49.8,48.6,48,47.6,48,49,47.3,45.2,46.1,46.8,46,46.9,47.2,48.3,49.6,50.1,52,48.6,51.8,56.1,60.1,66.8,71.7,71.2,60.4,61
,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,64.6,61.2,53.8,55.7
,Stationary Combustion,33.7,33.8,34.3,34.6,34.9,35.1,36.1,35.8,35.5,35.7,37.5,36.6,37.8,39.3,40.8,42.2,41.4,42.2,42,39.6,42.7,41.2,37.9,41.5,41.9,39,38,36.4
,Mobile Combustion,55,56.6,59.6,61.4,63.2,64.7,65.8,66.5,66.6,63.4,62.2,59.6,57.4,55.1,52,48.6,45.9,41,37.5,35.2,33.7,31.9,28.9,26.6,24.3,22.4,21.2,20.1
,Incineration of Waste,8.4,8.3,9.9,10.2,11.3,11.7,12.3,12.3,11.2,11.4,11.5,11.8,12.2,12.5,12.8,12.9,12.9,13.1,12.2,11.7,11.4,10.8,10.7,10.6,10.7,11.1,11.1,11.1
,Abandoned Oil and Gas Wells,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7,7,7,7,7,7,7,7.1,7.1,7.2,6.9
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9,8.2,8.3,8.8,8,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3,6.4,6.7,6.4
,Industrial Processes and Product Use,342.1,322.7,328.8,328.6,339.9,370.8,382.8,388.1,395.7,390.4,389.1,350.7,359.8,344.4,357.5,358,366.2,383.5,359.6,310.3,350.6,366.3,353.6,353.1,365.2,360.8,354.6,358.9
,Substitution of Ozone Depleting Substances,0.3,0.6,1.8,6,13.9,31.4,43.6,55.5,63,71.7,79.2,85.9,90.8,94.4,98,102.1,108.3,115.2,123,131.4,137.4,139.2,140.7,141.7,145.3,149.2,151.8,152.7
,Iron and Steel Production & Metallurgical Coke Production,101.7,92.3,93.2,89.2,92,95.8,93.8,95.2,88.9,86.8,88.3,77.8,73.9,70.7,70.4,68.2,71,72.7,68.2,43.9,56.9,61.3,55.6,53.5,58.4,47.8,42.3,41.8
,Cement Production,33.5,32.7,33,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3
,Petrochemical Production,21.4,22.9,23.4,24.4,26.4,27.8,28.9,30.3,30.6,32,31.3,27.3,28.3,28.1,30.2,26.9,27.1,27.5,24.2,23.3,27.3,26.4,26.6,26.5,26.6,28.2,28.4,28.5
,Ammonia Production,13,13.3,13.7,13.2,14.2,13.5,13.8,14,14.1,12.9,12.2,9.2,10.5,8.8,9.6,9.2,8.8,9.1,8.4,8.5,9.2,8.2,8.9,9.5,9.4,10.6,10.8,13.2
,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14,13.8,14,14.2,13.3,12.9,13.1
,Other Process Uses of Carbonates,6.3,5.7,5.6,5.2,5.6,7.6,8.2,7.8,8.1,8.9,6,6,6.5,5.1,6.9,7.6,8.6,8.6,7.1,8.7,10.7,10.4,9.1,11.5,13,12.2,11,10.1
,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9,11.6,10.1,9.3
,Adipic Acid Production,15.2,14.9,13,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,3.9,5.4,4.3,7,7.4
,HCFC-22 Production,46.1,41.4,46,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25,26.7,15.6,21.8,20,17.5,21.5,17.2,6.8,8,8.8,5.5,4.1,5,4.3,2.8,5.2
,Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,5.1,4.8,4.6,1.8,4.6,5.1,5
,Semiconductor Manufacture,3.6,3.6,3.6,4.5,4.9,6.2,6.9,7.3,9,9.1,7.7,5.4,5.6,5.3,5,4.7,5.2,4.8,4.4,3.2,4,5.4,4.9,4.6,4.8,4.9,5,5
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5,4.5,4.5,4.5
,Electrical Transmission and Distribution,23.1,22.1,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12.1,11,9.9,9.1,8.3,7.1,6.2,6.1,5.8,5.8,5.9,4.7,4.4,4.6,4.1,4.4,4.3
,N2O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
,Aluminum Production,28.3,25.1,23.5,22.2,19.6,19.4,20.4,18.6,16.2,16.1,16,8.4,10.6,8.9,7.5,7.6,6.7,8.7,7.6,4.9,4.6,6.8,6.4,6.2,5.4,4.8,2.7,2.3
,Ferroalloy Production,2.2,1.9,2,1.9,2,2.1,2.1,2.2,2.2,2.2,1.9,1.5,1.4,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,1.9,2,1.8,2
,Soda Ash Production,1.4,1.4,1.5,1.4,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.6,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.8
,Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.7,1.6,1.7,1.7
,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",1.7,1.6,1.7,1.7,1.9,1.9,1.9,2,2,2,2,1.9,2,2,2.1,2.1,2.1,2.2,2,1.9,2.1,2,2,2,2,2,2,1.4
,Glass Production,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.6,1.5,1.4,1.7,1.4,1.7,1.6,1.6,1.9,2.1,1.5,1.5,1,1.5,1.3,1.2,1.3,1.3,1.3,1.2,1.3
,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1,1.2,1.7,1.4,1.4,1,1.1,1.2,1.2
,Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1,1.1,1.2,1.1,1.1,1,1,1,1
,Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.7,0.7,1.1,1,1,1,1,1.2,0.9,1.2,1.3,1.5,1.4,1,0.9,0.9,1
,Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Silicon Carbide Production and Consumption,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Agriculture,490.2,490.6,494.7,507.4,499.5,512.4,515.1,509.6,532.1,511.9,509.9,516.2,517.4,520.1,537.3,518.4,527.6,544.6,535.1,539.1,546.6,531.9,514.7,526.3,522.8,543.8,541.2,542.1
,Agricultural Soil Management,251.7,248.9,249.9,259,246.3,252.4,257,253,272.3,249.4,248,255.9,253.7,258,281.6,254.5,263.7,271.7,266.2,270.8,275.2,264.4,248,265.2,262.3,277.8,267.6,266.4
,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170,166.8,168.9,171.6,174.5,173.8,173,171.3,168.9,166.7,165.5,164.2,166.5,171.9,175.4
,Manure Management,51.1,53.1,51.7,53.3,56.7,58.4,57.5,59.5,63.5,64.4,65.3,67.1,68.5,69.2,67,70.2,71.3,76,74.6,73.4,75.3,76.3,78.1,75.5,75.2,78.5,79.7,80.4
,Rice Cultivation,16,16.8,16.9,16.9,14.8,15.8,16,15.8,16.1,18.1,18.3,15.6,16.5,14.3,14.1,16.7,12.9,13.9,11.5,14.5,15.9,14.1,11.3,11.5,12.7,12.3,13.7,11.3
,Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.4,4.5,4.7,4.9,5.1
,Liming,4.7,5,4.4,3.8,4.1,4.4,4.4,4.3,4.7,4.5,4.3,4.4,5,4.6,3.9,4.3,4.2,4.5,5,3.7,4.8,3.9,6,3.9,3.6,3.7,3.2,3.2
,Field Burning of Agricultural Residues,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3
,Waste,198.9,201.5,201.7,199.9,200.2,195.5,192.1,183,173.6,167.3,164.4,159.5,157.7,160.5,158.2,154.7,152.7,150.8,148.7,146.1,147,138.2,139.4,135.8,135.6,134.5,131.1,131
,Landfills,179.6,181.7,181.4,179.2,179,174.2,170.6,161.1,151.4,144.7,141.4,136.8,134.9,137.4,134.9,131.4,129.3,127.2,125.1,123,124.1,115.4,116.6,112.9,112.5,111.2,108,107.7
,Wastewater Treatment,18.7,19,19.4,19.5,19.8,19.7,19.7,19.8,19.9,20.2,20.1,19.9,19.9,19.9,19.8,19.8,19.9,19.9,19.9,19.6,19.5,19.3,19.1,19,19.1,19.3,19.1,19.2
,Composting,0.7,0.8,0.9,1.2,1.5,1.6,1.9,2.1,2.3,2.5,2.8,2.8,2.9,3.3,3.5,3.5,3.6,3.7,3.8,3.6,3.5,3.5,3.7,3.9,4,4,4,4.1
,Total Emissionsa,6371,6315.6,6424.9,6532.1,6624.8,6710.1,6907.7,6968.5,7032.5,7071.5,7232,7116.8,7156.7,7199.3,7333.1,7339,7270.3,7370,7160.6,6709.4,6938.6,6787.4,6546,6710.2,6760,6623.8,6492.3,6456.7
,"Land Use, Land-Use Change, and Forestry",-807,-817.1,-793.5,-773.9,-802.3,-753.1,-786.9,-767.5,-765.7,-757.9,-767.4,-722.1,-722.1,-629.1,-668,-740,-738.5,-699.7,-654.2,-685.3,-669.4,-731.6,-726.1,-713.5,-670,-711.1,-722.6,-714.1
,Forest land,-788,-790.6,-784,-788.9,-777.7,-768.4,-769,-765.6,-761.7,-746.9,-719,-711.2,-713.5,-634.4,-681.7,-750.2,-742.2,-721.9,-674.6,-712.4,-702.5,-727.1,-709.3,-726.4,-678.6,-744.4,-741,-733.1
,Cropland,34.6,28.1,38.3,51.9,36.9,49.3,38.1,40.3,45.7,26,20.3,31.1,34.7,44.1,44.1,40.1,45.4,46,57.9,62.7,64.2,48.2,45.1,55.6,54.7,60.4,57.4,56.6
,Grassland,4.7,1.9,7.4,14.8,-12.6,11.5,-9.7,2.8,-6.1,6.3,-25.3,-0.8,-2.9,0.7,9.3,11.3,-5.9,11.8,-0.2,5.1,11.7,-4,-12.8,4.9,1.2,20,7.5,8.9
,Wetlands,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-3.8,-3.7,-3.6,-3.5,-3.4,-2,-2.1,-2.1,-2,-2,4.3,4.5,4.5,4.5,4.5,-0.4,-0.6,-0.7,-0.6,-0.7,-0.7,-0.7
,Settlements,-57.8,-55.9,-54.6,-51.2,-48.3,-45,-42.4,-41.4,-39.9,-39.8,-40,-39.2,-38.3,-37.5,-37.9,-39.2,-40,-40.2,-41.8,-45.2,-47.3,-48.3,-48.4,-46.9,-46.7,-46.4,-45.8,-45.9
,Net Emission (Sources and Sinks)b,5564,5498.5,5631.4,5758.2,5822.6,5957,6120.8,6200.9,6266.9,6313.6,6464.6,6394.7,6434.6,6570.1,6665,6599,6531.8,6670.2,6506.4,6024.1,6269.2,6055.8,5819.9,5996.8,6090,5912.7,5769.7,5742.6
,Notes: Total emissions presented without LULUCF. Net emissions presented with LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Total emissions without LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Total emissions with LULUCF. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
